year,Temperature,Precipitation,SeaIceFraction,CO2Concentration,EnergyBalance
2012,14.71112061,3.45E-05,6.71,394.0,1.0364
2013,14.74337769,3.46E-05,6.81,396.5,1.1407
2014,14.99072266,3.47E-05,6.60,399.0,1.1291
2015,14.99990845,3.47E-05,6.44,401.6,0.9579
2016,15.00579834,3.49E-05,6.50,404.3,0.9042
2017,15.01879883,3.48E-05,6.42,407.1,1.2229
2018,15.09429932,3.48E-05,6.29,409.9,1.3325
2019,15.14001465,3.50E-05,6.29,412.8,0.7664
2020,14.96603394,3.47E-05,6.41,415.8,1.3740
2021,15.1091919,3.47E-05,6.43,418.8,1.4081
2022,15.15127564,3.48E-05,6.45,421.9,1.7257
2023,15.33935547,3.50E-05,6.39,425.0,0.9351
2024,15.22372437,3.48E-05,6.45,428.2,1.1447
2025,15.36721802,3.49E-05,6.24,431.5,1.5236
2026,15.41339111,3.52E-05,6.10,434.8,0.7784
2027,15.37283325,3.49E-05,6.03,438.2,1.3752
2028,15.34405518,3.48E-05,6.14,441.7,1.2663
2029,15.46365356,3.50E-05,6.23,445.3,1.2447
2030,15.4815979,3.53E-05,6.26,448.8,1.0440
2031,15.41937256,3.49E-05,6.21,452.5,1.2875
2032,15.49673462,3.50E-05,6.08,456.2,1.3640
2033,15.67199707,3.52E-05,6.05,460.0,1.2858
2034,15.58026123,3.52E-05,6.02,463.9,1.0466
2035,15.58169556,3.49E-05,6.09,467.9,1.6817
2036,15.58187866,3.50E-05,6.14,472.0,1.6336
2037,15.71170044,3.53E-05,6.04,476.2,0.9577
2038,15.59197998,3.51E-05,6.17,480.5,1.7153
2039,15.68612671,3.52E-05,6.11,484.9,1.2159
2040,15.69857788,3.51E-05,6.15,489.4,1.5236
2041,15.85144043,3.52E-05,5.97,494.0,1.3692
2042,15.86178589,3.53E-05,5.87,498.7,0.9182
2043,15.82055664,3.52E-05,6.12,503.5,1.6203
2044,15.94891357,3.52E-05,5.99,508.4,1.4936
2045,16.01898193,3.53E-05,5.94,513.5,1.6163
2046,16.00860596,3.53E-05,5.73,518.6,1.4696
2047,15.95080566,3.54E-05,5.76,523.9,1.2896
2048,15.95315552,3.52E-05,5.76,529.3,2.3734
2049,16.02606201,3.55E-05,5.93,534.9,1.2048
2050,16.10479736,3.54E-05,5.75,540.5,1.6632
2051,16.15362549,3.53E-05,5.69,546.3,1.5688
